"#","Page","Page URL","Action","Priority","What changes","Current wording","New wording","Why"
"16","teeth-whitening (sensitive teeth) blog","https://westhollywooddentalstudio.com/teeth-whitening-for-sensitive-teeth-gentle-options-that-still-deliver-results/","Change","Low","Page title (stray words)","Teeth Whitening for Sensitive Teeth: Gentle Options That Still Deliver Results | Teeth Whitening","Teeth Whitening for Sensitive Teeth: Gentle Options That Still Deliver Results","The title ends with an extra ""| Teeth Whitening"" that looks like a leftover tag and should be removed."
"17","tag archive page","https://westhollywooddentalstudio.com/tag/tooth-extraction/","Set no-index","Medium","Indexing (no-index)","(WordPress auto-generated tag page, currently allowed in search)","In Yoast > Settings > Content Types > Categories & Tags > Tags > ""Show Tags in search results?"" = Off. Outputs in <head>: <meta name=""robots"" content=""noindex, follow"" />","A near-empty tag page is showing in search instead of the real service page; no-index keeps the tag pages out of search."
"18","westhollywooddentalstudio.com page","https://westhollywooddentalstudio.com/","Keep","-","","","","Home page - ranks for the main ""dentist in West Hollywood"" searches; title and heading match. Leave as-is during the core update."
"19","privacy-policy page","https://westhollywooddentalstudio.com/privacy-policy/","Keep","-","","","","Legal/utility page; fine as-is. Keep."
"20","dentist-appointment page","https://westhollywooddentalstudio.com/dentist-appointment/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"21","patient-information page","https://westhollywooddentalstudio.com/patient-information/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"22","dental-technology page","https://westhollywooddentalstudio.com/dental-technology/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"23","our-practice page","https://westhollywooddentalstudio.com/our-practice/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"24","contact-us page","https://westhollywooddentalstudio.com/contact-us/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"25","dentista-en-west-hollywood page","https://westhollywooddentalstudio.com/dentista-en-west-hollywood/","Keep","-","","","","Spanish-language page targeting Spanish searches; separate from the English pages on purpose. Keep."
"26","office-tour page","https://westhollywooddentalstudio.com/office-tour/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"27","about-us page","https://westhollywooddentalstudio.com/about-us/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"28","dr-lisa-rivas page","https://westhollywooddentalstudio.com/meet-our-dental-team/dr-lisa-rivas/","Keep","-","","","","Dr. Rivas bio ranks well; title and heading match. Keep."
"29","accessibility-statement page","https://westhollywooddentalstudio.com/accessibility-statement/","Keep","-","","","","Legal/utility page; fine as-is. Keep."
"30","implante-dental-de-diente-unico page","https://westhollywooddentalstudio.com/west-hollywood-ca/implante-dental-de-diente-unico/","Keep","-","","","","Spanish-language page targeting Spanish searches; separate from the English pages on purpose. Keep."
"31","implantes-dentales page","https://westhollywooddentalstudio.com/west-hollywood-ca/implantes-dentales/","Keep","-","","","","Spanish-language page targeting Spanish searches; separate from the English pages on purpose. Keep."
"32","limpiezas-dentales page","https://westhollywooddentalstudio.com/west-hollywood-ca/limpiezas-dentales/","Keep","-","","","","Spanish-language page targeting Spanish searches; separate from the English pages on purpose. Keep."
"33","smile-makeover page","https://westhollywooddentalstudio.com/west-hollywood-ca/smile-makeover/","Keep","-","","","","Dedicated smile makeover page and it ranks; title and heading match. Do not touch."
"34","teeth-whitening page","https://westhollywooddentalstudio.com/west-hollywood-ca/teeth-whitening/","Keep","-","","","","Ranks for teeth whitening; title and heading match. Do not touch."
"35","invisalign-clear-aligners page","https://westhollywooddentalstudio.com/west-hollywood-ca/invisalign-clear-aligners/","Keep","-","","","","Top traffic page for Invisalign; title and heading match. Do not touch."
"36","dental-exams page","https://westhollywooddentalstudio.com/west-hollywood-ca/dental-exams/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"37","holistic-dentistry page","https://westhollywooddentalstudio.com/west-hollywood-ca/holistic-dentistry/","Keep","-","","","","Strong result for holistic dentistry; title and heading match. Do not touch."
"38","dental-cleaning page","https://westhollywooddentalstudio.com/west-hollywood-ca/dental-cleaning/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"39","dental-fillings page","https://westhollywooddentalstudio.com/west-hollywood-ca/dental-fillings/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"40","dental-crowns page","https://westhollywooddentalstudio.com/west-hollywood-ca/dental-crowns/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"41","tooth-extraction page","https://westhollywooddentalstudio.com/west-hollywood-ca/tooth-extraction/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"42","wisdom-teeth-removal page","https://westhollywooddentalstudio.com/west-hollywood-ca/wisdom-teeth-removal/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"43","dental-bone-graft page","https://westhollywooddentalstudio.com/west-hollywood-ca/dental-bone-graft/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"44","dentures-and-partial-dentures page","https://westhollywooddentalstudio.com/west-hollywood-ca/dentures-and-partial-dentures/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"45","dental-x-rays page","https://westhollywooddentalstudio.com/west-hollywood-ca/dental-x-rays/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"46","emergency-dentist page","https://westhollywooddentalstudio.com/west-hollywood-ca/emergency-dentist/","Keep","-","","","","Strong result for ""emergency dentist""; title and heading match. Do not touch."
"47","porcelain-veneers page","https://westhollywooddentalstudio.com/west-hollywood-ca/porcelain-veneers/","Keep","-","","","","Top traffic page (best result for ""veneers West Hollywood""); title and heading match. Do not touch."
"48","dental-implants page","https://westhollywooddentalstudio.com/west-hollywood-ca/dental-implants/","Keep","-","","","","Well-targeted implants page; title and heading match. Do not touch (one image alt could be tidied, optional)."
"49","hygiene-and-preventative-dentistry page","https://westhollywooddentalstudio.com/west-hollywood-ca/hygiene-and-preventative-dentistry/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"50","oral-surgery page","https://westhollywooddentalstudio.com/west-hollywood-ca/oral-surgery/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"51","root-canal page","https://westhollywooddentalstudio.com/west-hollywood-ca/root-canal/","Keep","-","","","","Well-targeted root canal page; title and heading match. Do not touch."
"52","the-truth-about-teeth-whitening-professional-vs-over-the-counter-options page","https://westhollywooddentalstudio.com/the-truth-about-teeth-whitening-professional-vs-over-the-counter-options/","Keep","-","","","","Blog article - title matches the topic and the heading; on-topic. Keep."
"53","how-soon-after-extraction-can-you-get-an-implant-a-timeline-guide page","https://westhollywooddentalstudio.com/how-soon-after-extraction-can-you-get-an-implant-a-timeline-guide/","Keep","-","","","","Blog article - title matches the topic and the heading; on-topic. Keep."
"54","do-you-need-crowns-or-veneers page","https://westhollywooddentalstudio.com/do-you-need-crowns-or-veneers/","Keep","-","","","","Blog article - title matches the topic and the heading; on-topic. Keep."
"55","choosing-the-right-veneers-dentist page","https://westhollywooddentalstudio.com/choosing-the-right-veneers-dentist/","Keep","-","","","","Blog article - title matches the topic and the heading; on-topic. Keep."
"56","complete-guide-to-dental-veneers-process page","https://westhollywooddentalstudio.com/complete-guide-to-dental-veneers-process/","Keep","-","","","","Blog article - title matches the topic and the heading; on-topic. Keep."
"57","are-dental-implants-worth-your-money page","https://westhollywooddentalstudio.com/are-dental-implants-worth-your-money/","Keep","-","","","","Blog article - title matches the topic and the heading; on-topic. Keep."
"58","transform-your-missing-teeth-with-natural-dental-implants page","https://westhollywooddentalstudio.com/transform-your-missing-teeth-with-natural-dental-implants/","Keep","-","","","","Blog article - title matches the topic and the heading; on-topic. Keep."
"59","dental-implants-vs-traditional-bridges-which-is-right-for-you page","https://westhollywooddentalstudio.com/dental-implants-vs-traditional-bridges-which-is-right-for-you/","Keep","-","","","","Blog article - title matches the topic and the heading; on-topic. Keep."
"60","oral-surgery-your-comprehensive-patient-guide page","https://westhollywooddentalstudio.com/oral-surgery-your-comprehensive-patient-guide/","Keep","-","","","","Blog article - title matches the topic and the heading; on-topic. Keep."
"61","tooth-implants-your-guide page","https://westhollywooddentalstudio.com/tooth-implants-your-guide/","Keep","-","","","","Blog article - title matches the topic and the heading; on-topic. Keep."
"62","are-veneers-permanent-solutions page","https://westhollywooddentalstudio.com/are-veneers-permanent-solutions/","Keep","-","","","","Blog article - title matches the topic and the heading; on-topic. Keep."
"63","dental-implants-near-me page","https://westhollywooddentalstudio.com/dental-implants-near-me/","Keep","-","","","","Blog article - title matches the topic and the heading; on-topic. Keep."
"64","what-are-the-options-for-dental-implants page","https://westhollywooddentalstudio.com/what-are-the-options-for-dental-implants/","Keep","-","","","","Blog article - title matches the topic and the heading; on-topic. Keep."
"65","holiday-tips-and-tricks-for-invisalign-clear-aligner-success-this-season page","https://westhollywooddentalstudio.com/holiday-tips-and-tricks-for-invisalign-clear-aligner-success-this-season/","Keep","-","","","","Blog article - title matches the topic and the heading; on-topic. Keep."
"66","why-invisalign-retainers-are-essential-after-treatment page","https://westhollywooddentalstudio.com/why-invisalign-retainers-are-essential-after-treatment/","Keep","-","","","","Blog article - title matches the topic and the heading; on-topic. Keep."
"67","what-happens-to-your-teeth-during-the-whitening-process page","https://westhollywooddentalstudio.com/what-happens-to-your-teeth-during-the-whitening-process/","Keep","-","","","","Blog article - title matches the topic and the heading; on-topic. Keep."
"68","dental-implants-vs-dental-bridge-which-one-actually-feels-more-like-real-teeth page","https://westhollywooddentalstudio.com/dental-implants-vs-dental-bridge-which-one-actually-feels-more-like-real-teeth/","Keep","-","","","","Blog article - title matches the topic and the heading; on-topic. Keep."
"69","what-are-the-most-common-causes-of-toothaches page","https://westhollywooddentalstudio.com/what-are-the-most-common-causes-of-toothaches/","Keep","-","","","","Blog article - title matches the topic and the heading; on-topic. Keep."
"70","why-do-people-schedule-a-smile-makeover-before-a-big-life-event page","https://westhollywooddentalstudio.com/why-do-people-schedule-a-smile-makeover-before-a-big-life-event/","Keep","-","","","","Blog article - title matches the topic and the heading; on-topic. Keep."
