"#","Page","Page URL","Action","Priority","What changes","Current wording","New wording","Why"
"11","smiletustin.com page","https://smiletustin.com/","Keep","-","","","","Home page - ranks #1-4 for the main dentist/implant searches; title and H1 match. Do not touch during the core update."
"12","tustin-ca page","https://smiletustin.com/tustin-ca/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"13","thank-you page","https://smiletustin.com/thank-you/","Keep","-","","","","Utility/support page; fine as-is. Keep."
"14","patient-reviews page","https://smiletustin.com/patient-reviews/","Keep","-","","","","Utility/support page; fine as-is. Keep."
"15","links page","https://smiletustin.com/links/","Keep","-","","","","Utility/support page; fine as-is. Keep."
"16","cerec-one-visit-dentistry page","https://smiletustin.com/cerec-one-visit-dentistry/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"17","why-choose-us page","https://smiletustin.com/why-choose-us/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"18","3d-digital-dentistry page","https://smiletustin.com/3d-digital-dentistry/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"19","home-care page","https://smiletustin.com/home-care/","Keep","-","","","","Utility/support page; fine as-is. Keep."
"20","dr-kory-golchert-endodontist page","https://smiletustin.com/meet-our-dental-team/dr-kory-golchert-endodontist/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"21","patients-first-visit page","https://smiletustin.com/patients-first-visit/","Keep","-","","","","Dedicated first-visit page; title and H1 match. Keep."
"22","smile-gallery page","https://smiletustin.com/smile-gallery/","Keep","-","","","","Utility/support page; fine as-is. Keep."
"23","dr-zahra-hanieh-ezzy-tustin-dentist page","https://smiletustin.com/meet-our-dental-team/dr-zahra-hanieh-ezzy-tustin-dentist/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"24","about-us page","https://smiletustin.com/about-us/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"25","video-testimonials page","https://smiletustin.com/video-testimonials/","Keep","-","","","","Utility/support page; fine as-is. Keep."
"26","dental-videos page","https://smiletustin.com/dental-videos/","Keep","-","","","","Utility/support page; fine as-is. Keep."
"27","feedback page","https://smiletustin.com/feedback/","Keep","-","","","","Utility/support page; fine as-is. Keep."
"28","accessibility-statement page","https://smiletustin.com/accessibility-statement/","Keep","-","","","","Legal/utility page; fine as-is. Keep."
"29","privacy-policy page","https://smiletustin.com/privacy-policy/","Keep","-","","","","Legal/utility page; fine as-is. Keep."
"30","dentist-appointment page","https://smiletustin.com/dentist-appointment/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"31","treatment-lanap page","https://smiletustin.com/tustin-ca/treatment-lanap/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"32","dental-services page","https://smiletustin.com/dental-services/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"33","dental-technology page","https://smiletustin.com/dental-technology/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"34","dental-insurance-financing page","https://smiletustin.com/dental-insurance-financing/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"35","meet-our-dental-team page","https://smiletustin.com/meet-our-dental-team/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"36","sleep-support-devices-snore-guard page","https://smiletustin.com/tustin-ca/sleep-support-devices-snore-guard/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"37","prp-and-prf page","https://smiletustin.com/tustin-ca/prp-and-prf/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"38","tmj-treatment page","https://smiletustin.com/tustin-ca/tmj-treatment/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"39","bone-grafting page","https://smiletustin.com/tustin-ca/bone-grafting/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"40","implant-supported-dentures page","https://smiletustin.com/tustin-ca/implant-supported-dentures/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"41","iv-sedation page","https://smiletustin.com/tustin-ca/iv-sedation/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"42","internal-bleaching page","https://smiletustin.com/tustin-ca/internal-bleaching/","Keep","-","","","","Main internal-bleaching page - the duplicate is pointed here. Keep."
"43","preventative-dentistry page","https://smiletustin.com/tustin-ca/preventative-dentistry/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"44","cosmetic-dentistry page","https://smiletustin.com/tustin-ca/cosmetic-dentistry/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"45","restorative-dentistry page","https://smiletustin.com/tustin-ca/restorative-dentistry/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"46","dental-fillings page","https://smiletustin.com/tustin-ca/dental-fillings/","Keep","-","","","","Main dental-fillings page - the duplicate is pointed here. Keep."
"47","periodontal-care page","https://smiletustin.com/tustin-ca/periodontal-care/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"48","mouthguards page","https://smiletustin.com/tustin-ca/mouthguards/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"49","dental-inlays-and-onlays page","https://smiletustin.com/tustin-ca/dental-inlays-and-onlays/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"50","dental-exams page","https://smiletustin.com/tustin-ca/dental-exams/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"51","porcelain-veneers page","https://smiletustin.com/tustin-ca/porcelain-veneers/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"52","family-dentistry page","https://smiletustin.com/tustin-ca/family-dentistry/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"53","wisdom-teeth-removal page","https://smiletustin.com/tustin-ca/wisdom-teeth-removal/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"54","teeth-cleaning page","https://smiletustin.com/tustin-ca/teeth-cleaning/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"55","dental-bridge page","https://smiletustin.com/tustin-ca/dental-bridge/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"56","all-on-4-dental-implants page","https://smiletustin.com/tustin-ca/all-on-4-dental-implants/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"57","oral-surgery page","https://smiletustin.com/tustin-ca/oral-surgery/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"58","dentures-and-partial-dentures page","https://smiletustin.com/tustin-ca/dentures-and-partial-dentures/","Keep","-","","","","Best result for ""dentures tustin"" (#1). Do not touch."
"59","tooth-extraction page","https://smiletustin.com/tustin-ca/tooth-extraction/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"60","teeth-whitening page","https://smiletustin.com/tustin-ca/teeth-whitening/","Keep","-","","","","Best result for ""teeth whitening tustin"" (#1). Do not touch."
"61","dental-crowns page","https://smiletustin.com/tustin-ca/dental-crowns/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"62","microscopic-micro-surgeries page","https://smiletustin.com/tustin-ca/microscopic-micro-surgeries/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"63","contact-us page","https://smiletustin.com/contact-us/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"64","dental-implants page","https://smiletustin.com/tustin-ca/dental-implants/","Keep","-","","","","Main dental implants service page; title and H1 match. Keep."
"65","root-canals page","https://smiletustin.com/tustin-ca/root-canals/","Keep","-","","","","Root canal service page; title and H1 match. Keep."
"66","invisalign-clear-aligners page","https://smiletustin.com/tustin-ca/invisalign-clear-aligners/","Keep","-","","","","Invisalign service page; title and H1 match. Keep."
"67","laser-treatments page","https://smiletustin.com/tustin-ca/laser-treatments/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"68","how-does-light-therapy-speed-up-healing-after-dental-treatment page","https://smiletustin.com/how-does-light-therapy-speed-up-healing-after-dental-treatment/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"69","can-untreated-tmj-damage-my-teeth-jaw-or-bite-long-term page","https://smiletustin.com/can-untreated-tmj-damage-my-teeth-jaw-or-bite-long-term/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"70","what-should-i-do-if-my-aligner-tray-cracks-mid-treatment page","https://smiletustin.com/what-should-i-do-if-my-aligner-tray-cracks-mid-treatment/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"71","are-root-canals-painful-the-truth-from-smile-tustin page","https://smiletustin.com/are-root-canals-painful-the-truth-from-smile-tustin/","Keep","-","","","","Blog that ranks and gets traffic; on-topic. Keep."
"72","can-laser-dentistry-fix-a-gummy-smile page","https://smiletustin.com/can-laser-dentistry-fix-a-gummy-smile/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"73","how-common-is-dental-implant-failure-and-what-causes-it-to-happen page","https://smiletustin.com/how-common-is-dental-implant-failure-and-what-causes-it-to-happen/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"74","dental-implants-and-diabetes-what-patients-need-to-know page","https://smiletustin.com/dental-implants-and-diabetes-what-patients-need-to-know/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"75","can-i-get-dental-implants-if-i-have-bone-loss page","https://smiletustin.com/can-i-get-dental-implants-if-i-have-bone-loss/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"76","our-tustin-dentist-explains-how-to-avoid-tooth-implant-complications page","https://smiletustin.com/our-tustin-dentist-explains-how-to-avoid-tooth-implant-complications/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"77","dental-implants-for-seniors-smile-tustin page","https://smiletustin.com/dental-implants-for-seniors-smile-tustin/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"78","emergency-tooth-implant-complications page","https://smiletustin.com/emergency-tooth-implant-complications/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"79","are-dental-implants-painful-to-get-at-smile-tustin page","https://smiletustin.com/are-dental-implants-painful-to-get-at-smile-tustin/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"80","are-implant-supported-dentures-right-for-you page","https://smiletustin.com/are-implant-supported-dentures-right-for-you/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"81","full-mouth-rehabilitation-smile-tustins-life-changing-prosthetic-solutions-for-complex-cases page","https://smiletustin.com/full-mouth-rehabilitation-smile-tustins-life-changing-prosthetic-solutions-for-complex-cases/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"82","dental-implants-are-they-worth-the-investment page","https://smiletustin.com/dental-implants-are-they-worth-the-investment/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"83","dental-implants-vs-bridges page","https://smiletustin.com/dental-implants-vs-bridges/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"84","smile-confidently-with-dental-implants page","https://smiletustin.com/smile-confidently-with-dental-implants/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"85","choosing-the-right-dental-implant-specialist-in-tustin-ca page","https://smiletustin.com/choosing-the-right-dental-implant-specialist-in-tustin-ca/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"86","am-i-a-candidate-for-dental-implants-in-tustin-ca page","https://smiletustin.com/am-i-a-candidate-for-dental-implants-in-tustin-ca/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"87","can-a-root-canal-procedure-save-your-tooth-in-tustin page","https://smiletustin.com/can-a-root-canal-procedure-save-your-tooth-in-tustin/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"88","factors-affect-root-canal-lifespan page","https://smiletustin.com/factors-affect-root-canal-lifespan/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"89","dentist-for-emergency-root-canal page","https://smiletustin.com/dentist-for-emergency-root-canal/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"90","beyond-teeth-whitening-internal-bleaching-for-discolored-root-canal-teeth page","https://smiletustin.com/beyond-teeth-whitening-internal-bleaching-for-discolored-root-canal-teeth/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"91","inside-smile-tustins-advanced-microscope-endodontics page","https://smiletustin.com/inside-smile-tustins-advanced-microscope-endodontics/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"92","the-truth-about-root-canals-why-theyre-not-what-you-think page","https://smiletustin.com/the-truth-about-root-canals-why-theyre-not-what-you-think/","Keep","-","","","","Root-canal blog that ranks and gets traffic; on-topic. Keep."
"93","am-i-a-candidate-for-root-canal-treatment-in-tustin-ca page","https://smiletustin.com/am-i-a-candidate-for-root-canal-treatment-in-tustin-ca/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"94","how-to-handle-a-toothache-when-dentist-offices-are-closed page","https://smiletustin.com/how-to-handle-a-toothache-when-dentist-offices-are-closed/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"95","weekend-toothache-your-options-when-the-dentist-isnt-available page","https://smiletustin.com/weekend-toothache-your-options-when-the-dentist-isnt-available/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"96","when-should-you-actually-call-an-emergency-dentist-near-me-in-tustin page","https://smiletustin.com/when-should-you-actually-call-an-emergency-dentist-near-me-in-tustin/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"97","emergency-dental-care-in-tustin-where-to-go-when-tooth-pain-strikes page","https://smiletustin.com/emergency-dental-care-in-tustin-where-to-go-when-tooth-pain-strikes/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"98","tooth-abscess-and-dental-emergencies-when-to-seek-immediate-care page","https://smiletustin.com/tooth-abscess-and-dental-emergencies-when-to-seek-immediate-care/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"99","a-dentist-gives-tips-to-prevent-common-causes-of-toothaches page","https://smiletustin.com/a-dentist-gives-tips-to-prevent-common-causes-of-toothaches/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"100","invisalign-vs-braces-which-option-works-better-for-younger-patients page","https://smiletustin.com/invisalign-vs-braces-which-option-works-better-for-younger-patients/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"101","bothered-by-teeth-that-flare-out-heres-how-to-fix-them page","https://smiletustin.com/bothered-by-teeth-that-flare-out-heres-how-to-fix-them/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"102","invisalign-clear-aligners-why-retainers-matter-more-than-you-think page","https://smiletustin.com/invisalign-clear-aligners-why-retainers-matter-more-than-you-think/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"103","lost-invisalign-aligners-in-tustin page","https://smiletustin.com/lost-invisalign-aligners-in-tustin/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"104","invisalign-for-teens-builds-confidence page","https://smiletustin.com/invisalign-for-teens-builds-confidence/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"105","caring-for-invisalign-aligners-during-the-holidays page","https://smiletustin.com/caring-for-invisalign-aligners-during-the-holidays/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"106","how-can-a-dentist-fix-a-gap-between-front-teeth page","https://smiletustin.com/how-can-a-dentist-fix-a-gap-between-front-teeth/","Keep","-","","","","Blog that ranks and gets traffic; on-topic. Keep."
"107","cosmetic-treatments-how-we-create-smile-makeovers-in-tustin page","https://smiletustin.com/cosmetic-treatments-how-we-create-smile-makeovers-in-tustin/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"108","top-5-tips-for-caring-for-tustin-cosmetic-teeth-veneers page","https://smiletustin.com/top-5-tips-for-caring-for-tustin-cosmetic-teeth-veneers/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"109","cosmetic-dentistry-tustin-achieve-your-best-smile page","https://smiletustin.com/cosmetic-dentistry-tustin-achieve-your-best-smile/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"110","what-are-the-early-signs-of-oral-cancer-that-most-people-miss page","https://smiletustin.com/what-are-the-early-signs-of-oral-cancer-that-most-people-miss/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"111","what-is-the-white-stuff-on-your-teeth-even-after-you-brush page","https://smiletustin.com/what-is-the-white-stuff-on-your-teeth-even-after-you-brush/","Keep","-","","","","Blog that ranks and gets traffic; on-topic. Keep."
"112","tustin-teeth-cleaning-appointment page","https://smiletustin.com/tustin-teeth-cleaning-appointment/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"113","how-prp-and-prf-therapy-accelerates-your-dental-recovery-in-tustin page","https://smiletustin.com/how-prp-and-prf-therapy-accelerates-your-dental-recovery-in-tustin/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"114","precision-dentistry-the-art-of-microscopic-microsurgeries-at-smile-tustin page","https://smiletustin.com/precision-dentistry-the-art-of-microscopic-microsurgeries-at-smile-tustin/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"115","jaw-pain-relief-smile-tustins-tmj-therapy-changing-lives-in-tustin-and-beyond page","https://smiletustin.com/jaw-pain-relief-smile-tustins-tmj-therapy-changing-lives-in-tustin-and-beyond/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"116","new-year-new-smile-find-your-local-dentist-in-tustin-for-2026 page","https://smiletustin.com/new-year-new-smile-find-your-local-dentist-in-tustin-for-2026/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"117","dental-implants-cost-guide-tustin-ca page","https://smiletustin.com/dental-implants-cost-guide-tustin-ca/","Keep","-","","","","Top implant blog (page 1 for several ""dental implants tustin"" terms) and the biggest traffic driver after the home page. Do not touch."
"118","do-i-have-sleep-apnea-or-am-i-just-a-loud-snorer page","https://smiletustin.com/do-i-have-sleep-apnea-or-am-i-just-a-loud-snorer/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
